id,name,slug,url,created_at,updated_at,summary,storyline,collection,franchise,franchises,hypes,follows,rating,aggregated_rating,aggregated_rating_count,total_rating,total_rating_count,rating_count,parent_game,version_parent,version_title,similar_games,tags,game_engines,category,player_perspectives,game_modes,keywords,themes,genres,expansions,dlcs,bundles,standalone_expansions,first_release_date,status,platforms,release_dates,alternative_names,screenshots,videos,cover,websites,external_games,multiplayer_modes,involved_companies,age_ratings,artworks,checksum,remakes,remasters,expanded_games,ports,forks,language_supports,game_localizations,collections
28476,3D Lunattack,3d-lunattack,https://www.igdb.com/games/3d-lunattack,2017-05-07 14:53:45,2024-07-09 15:29:01,You attack a moonbase of the dreaded Seiddabs.,,,,,,,,,,,,,,,,"{306,43367,55038,57187,68286,103292,103301,105269,107318,113362}","{1,18,268435461,268435489}",,0,{1},"{1,2}",,"{1,18}","{5,33}",,,,,1984-12-31 00:00:00,,"{15,26,153}","{607838,607839,607840}",,"{1347163,1347164}",{117234},23458,{360567},"{48707,142517,1873956}","{28731,28732,28733}","{57419,57420}",,,38620b6f-b403-049b-930e-95cd73316b71,,,,,,{1028962},,{2701}
90089,3D Magic Chess HD,3d-magic-chess-hd,https://www.igdb.com/games/3d-magic-chess-hd,2018-03-07 14:34:21,2022-12-14 03:20:52,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2016-09-20 00:00:00,,{39},{366361},,,,,"{290528,290529,433988}","{271045,1977674,2449267}",,,,,1e7c47b7-ac30-7e3b-8374-b556f09a945b,,,,,,,,
65552,3D Mahjong,3d-mahjong,https://www.igdb.com/games/3d-mahjong,2017-09-12 22:42:04,2023-08-10 13:13:39,3D Mahjong on DSiWare,,,,,,,,,,,,,,,,"{236,5636,17130,19376,55173,55190,56033,64824,95776,109129}","{268435465,268435471,536875046,536876709}",,0,,,"{4134,5797}",,"{9,15}",,,,,2010-08-16 00:00:00,8,{159},"{145196,145197}",,"{179744,179745,179746,179747,179748,179749,179750,179751,179752}",,46594,{371516},"{123615,215645,1896461}",,{61848},{16379},,6c7db94d-a7ba-b044-5d88-a71b370524cc,,,,,,{749176},,
269319,3D Mahjong + Janpai Tori,3d-mahjong-plus-janpai-tori,https://www.igdb.com/games/3d-mahjong-plus-janpai-tori,2023-09-29 20:24:20,2023-10-02 02:56:45,A single player learning game with mahjong and shanghai tiles entirely rendered in 3D.,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2006-11-16 00:00:00,,{8},{521321},,,,333987,,{2748520},,,,,dded0ed1-bc95-a440-98b5-ee8ee8c58f6d,,,,,,,,
84661,3D MahJongg,3d-mahjongg,https://www.igdb.com/games/3d-mahjongg,2018-01-30 18:33:15,2024-09-13 17:01:37,The first MahJongg game in the eShop – which is designed specifically for your Nintendo 3DS!,,,,,,,63,,,63,0,0,,,,"{32510,95776,109129,111054,220872,230788,248655,253223,279865,301167}","{268435465,268435471,268435491}",,0,,,,,"{9,15,35}",,,,,2012-11-22 00:00:00,,{37},"{145198,145199}",,"{179753,179754,179755,179756,179757,179758}",,295632,{420974},"{215646,1964072}",,{126058},"{35538,64727}",{73465},f5308177-1ac5-1e8f-6b35-c64e3aebe7e7,,,,,,"{491103,491104,491105,491106}",,
79028,3D Mania,3d-mania,https://www.igdb.com/games/3d-mania,2017-12-26 14:30:08,2023-05-29 23:22:36,"3D Mania is a double pack of two games, released for the PC, Operation Overkill and Condition Red.",,,,,,,,,,,,,,,,"{8422,28751,55038,57187,57288,64311,68286,103301,105269,107318}","{1,18,268435461,536870913,536871859,536871872,536874743,536875171}",,0,,{1},"{1,947,960,3831,4259}","{1,18}",{5},,,,,1996-01-01 00:00:00,,{6},{479498},"{67780,67781}",,,55960,{344604},"{137553,1186751}",,,,,654486ca-de18-79f4-31af-356ff177f9d8,,,,,,{701130},,
71437,3D Marble Flip,3d-marble-flip,https://www.igdb.com/games/3d-marble-flip,2017-09-28 13:23:07,2023-05-23 05:42:15,3D Marble flip is a puzzle/labyrinth game for the PC.,,,,,,,,,,,,,,,,"{18115,25646,25905,43367,56033,60044,87170,87728,90788,110503}","{1,268435465,268435489}",,0,,{1},,{1},"{9,33}",,,,,2003-12-31 00:00:00,,{6},{473407},,"{1045672,1045673,1045674}",{89156},54073,{354763},"{153618,1867818}",,"{213585,213586}",{81227},,4af9d145-26ea-38ae-6a64-81bc315cbf08,,,,,,,,
172206,3D Math: Ultra,3d-math-ultra,https://www.igdb.com/games/3d-math-ultra,2021-09-22 19:42:14,2023-09-06 20:41:39,3D Math: Ultra is both simple and complex challenges!,,,,,,,,,,,,,,,,"{17130,17519,18623,31515,33603,36269,51577,55590,65827,79134}","{268435469,268435470,268435471,268435488}",,0,,,,,"{13,14,15,32}",,,,,2020-05-15 00:00:00,,"{3,6,14}","{321282,321283,321284}",,"{640917,640919,640920,640921,640922}",,249287,"{227573,470032}","{2053745,2124087}",,{154108},,{52391},1c5a0d2b-e2b4-2ea5-e97d-8e9627248846,,,,,,"{376662,376663,376664,376665,376666,376669,376670,376671,376672}",,
155734,3d Maze In Space,3d-maze-in-space,https://www.igdb.com/games/3d-maze-in-space,2021-07-13 10:09:11,2023-06-02 19:56:54,"3d labyrinth with procedurally generated levels. Character wakes up in an incomprehensible place and gradually remembers what happened, while making his assumptions about where he got into.",,,,,,,,,,,,,,,,,,,0,{1},{1},,,,,,,,2020-05-28 00:00:00,,{6},{462168},,"{522338,522339,522340,522341,522342}",,194077,"{461571,525951}","{2042428,2072867}",,,,{98424},ad762142-b693-0ff3-ef53-13fe83b11295,,,,,,"{524267,524268,524269,524270,524271,524272,524273,524274,524275,524276,524277,524278,524279,524280,524281,524282}",,
62961,3D Maze Man: Adventures in Winter Wonderland,3d-maze-man-adventures-in-winter-wonderland,https://www.igdb.com/games/3d-maze-man-adventures-in-winter-wonderland,2017-09-10 21:05:37,2024-01-22 22:15:38,Holiday-themed levels with Maze Man,,,,,,,,,,,,,,,,"{20342,25901,43367,51485,55190,56033,57187,87728,110503,117311}","{1,268435464,268435489,536871599,536871744,536872622}",,0,{4},{1},"{687,832,1710}",{1},"{8,33}",,,,,1998-12-31 00:00:00,,{6},{473419},,{1045685},{89160},37027,{374868},"{117339,1899943}",,{213591},,,ea0f279a-d16e-b4c9-53ec-c884b18a70cb,,,,,,,,{3685}
62962,3D Maze Man: Amazing Adventures,3d-maze-man-amazing-adventures,https://www.igdb.com/games/3d-maze-man-amazing-adventures,2017-09-10 21:05:41,2024-01-23 00:48:16,3D Pac-Man clone released in 1998. Hasbro Entertainment sued and had production and distribution of the game ceased in 2000.,,,,,,,,,,,,,,,,"{25636,54775,57296,58945,87622,95340,100800,103292,111130,113895}","{1,536871599,536876642}",,0,,,"{687,5730}",{1},,,,,,1998-12-31 00:00:00,,{6},{243288},,,,37028,{374867},"{117340,1899942}",,,,,4469c782-4259-0f7c-bd0e-7a4e641f7fca,,,,,,,,{3685}
56918,3D Mega Rides Avenger,3d-mega-rides-avenger,https://www.igdb.com/games/3d-mega-rides-avenger,2017-09-04 12:54:03,2023-05-17 13:21:40,3D Mega Rides Avenger,,,,,,,,,,,,,,,,"{17613,24436,32457,82594,82834,83192,87485,101573,105264,112754}","{268435469,536872060}",,0,,{1},,,{13},,,,,2016-05-04 00:00:00,,{6},{473676},,,,,{399474},"{104123,1925413}",,,,,c8515466-f18b-2698-c151-4d35ca737a64,,,,,,,,
299189,3D Mersi,3d-mersi,https://www.igdb.com/games/3d-mersi,2024-04-25 01:47:15,2024-04-30 18:53:46,"3D Mersi is a Block Out clone, published as a type-in listing in the October/November 1991 issue of CPC Amstrad International.",,,,,,,,,,,,,,,,,,,0,,{1},{5731},,"{9,33}",,,,,1991-12-31 00:00:00,,{25},{588051},,{1309973},{112211},379336,{633835},{2911700},,,,,8fccfb6e-6089-1b91-753c-fd13304ec6b2,,,,,,"{985219,985220}",,
41982,3D Mine Storm,3d-mine-storm,https://www.igdb.com/games/3d-mine-storm,2017-07-03 07:24:25,2024-01-29 03:23:10,"Mine Storm is the built-in game that came with every Vectrex unit. It was also released in a 3-D version that required the use of the Vectrex 3D Imager and as a bug-free replacement cartridge called Mine Storm 2 
 
Gameplay: 
Gameplay is similar to the arcade game Asteroids. The player moves around the screen shooting at star-shaped Mines of various sizes and mannerisms. Each screen has many dots, which can potentially turn into Mines; once a Mine is shot, two dots on the screen will turn into medium-sized Mines, which will then turn into two small Mines when shot (note: for the most part; sometimes, perhaps due to a glitch, a medium-sized Mine will just hatch one small Mine). When all dots have been turned into Mines on a screen, the Minelayer will come out, laying additional Mines in it's wake until the player destroys it. 
 
Making contact with any Mine, fireball, or Minelayer will destroy the player's ship and the game will end once there are no more reserve ships left (note: on some later versions, colliding with any piece of space dust or alien forces will also destroy the player's ship as well [see Trivia section]). Extra ships are earned after every four levels are cleared. The Escape function acts as Hyperspace, which moves the player's ship to a random area on the screen in case of emergency.",,,,,,,,,,,,,18769,,,"{306,10212,55038,57187,58095,68286,78770,105269,113362,117197}","{18,268435461}",,9,{3},{1},,{18},{5},,,,,1982-12-31 00:00:00,,{70},"{198657,198665}",,{108962},{36823},104711,"{142946,392429}","{59820,1864706,1918088}",,{101117},,,36224c23-6702-c6be-c392-1e51ebbe4ceb,,,,,,,,{6292}
242978,3D Miner,3d-miner,https://www.igdb.com/games/3d-miner,2023-03-28 10:28:03,2023-08-15 03:26:33,"A casual strategy mining game The game is designed with 30% luck + 40% aiming power + 30% decision (product mix) to determine whether you can finish the game In the mine with limited resources, with props, to maximize the benefits.",,,,,,,,,,,,,,,,"{19404,31515,33603,33646,36269,55590,65827,111043,115539,116674}","{268435471,268435488}",,0,{1},{1},,,"{15,32}",,,,,2023-03-28 00:00:00,,{6},{473677},{131507},"{1018690,1018691,1018692,1018693,1018694}",,314215,{540083},"{2687150,2687335}",,,,{104330},d5f97d56-3c30-5e75-c490-af6c9bc792ec,,,,,,{651678},,
11434,3D MiniGolf,3d-minigolf--1,https://www.igdb.com/games/3d-minigolf--1,2015-07-29 14:10:40,2023-08-06 13:56:19,"Experience virtual MiniGolf on your computer and master an entertaining match on over 50 challenging courses, 18 of which have been faithfully modelled after official courses in the real world. Three scenarios in glorious HD are waiting for the discerning mini golf enthusiast: a lovely green park, a camping site in the mountains and a dreamy sandy beach. Create your own profile to keep track of your statistics. Thanks to the integrated medal system you collect virtual rewards for your best matches. Try improving your own records in Challenge and Tournament mode or face off against your friends in Multiplayer mode. Enjoy exciting matches with 2-4 players.",,,,,,,40,,,40,0,0,,,,"{8422,15536,25311,28751,55038,58075,68286,103218,105269,119422}","{1,18,32,268435461,268435469,268435470,536870913,536870942,536871597,536871859,536871872,536874743,536875171}",,0,{3},"{1,2}","{1,30,685,947,960,3831,4259}","{1,18,32}","{5,13,14}",,{168446},,,2015-05-29 00:00:00,,"{6,14,48,130}","{71069,71070,118536,120169,145863}",{125970},"{86017,86018,86019,86020,86021}",,292956,{43424},"{8801,94749,108386,222476,320689,1115905,1924269,1943863}",,"{47418,47419,60534,60535}",{20880},,227cecb8-f441-15c2-acfa-429298ed37b1,,,,,,"{40490,40491,40492,40493,40494,40495,40497,40499,40500}",,
143059,3D MiniGolf,3d-minigolf--2,https://www.igdb.com/games/3d-minigolf--2,2021-02-01 22:31:33,2022-12-14 05:15:29,,,,,,,,,,,,,,,,,"{101573,109606,112846,114285,115869,116352,116353,116667,118871,120126}","{268435469,268435470}",,0,{1},"{1,2}",,,"{13,14}",,,,,2017-08-15 00:00:00,,"{48,167}",{377821},{83259},"{552014,552015,552016,552017}",,136967,,"{1997648,1997801,2064527,2077390,2119436,2120140,2241792}",,{143270},"{87691,87692}",,a2f971ff-3cdc-9f77-3c6f-80d0b4cbe2f4,,,,,,,,
147887,3D MiniGolf,3d-minigolf,https://www.igdb.com/games/3d-minigolf,2021-05-16 17:12:34,2024-10-01 10:19:22,"Experience virtual but realistic mini-golf and master an entertaining match on over 54 challenging holes, 18 of which faithfully modelled after official courses in the real world. Three scenarios in glorious HD are waiting for the discerning mini-golf enthusiast: a lovely green park, a camping site in the mountains and a dreamy sandy beach. Use your profile to keep track of your statistics. Thanks to the integrated medal system you collect virtual rewards for your best matches.",,,,,,,,,,,,,,,,"{27378,87017,114285,116353,118871,120126,120795,231072,266245,292144}","{40,268435469,268435470,268435489}",,0,,,,{40},"{13,14,33}",,,,,2018-02-01 00:00:00,,{130},{248149},,"{449542,449543,449544,449545,449546}",,307774,{398367},{2012216},,{134742},"{37122,64458}",{11900},3a3afff2-12f1-70eb-4e93-169da7db147d,,{187270},,,,"{495610,495611,495612,495613,495614}",,
