id,name,slug,url,created_at,updated_at,summary,category,platform_family,alternative_name,generation,versions,abbreviation,platform_logo,websites,checksum
50,3DO Interactive Multiplayer,3do,https://www.igdb.com/platforms/3do,2012-01-17 19:46:05,2024-06-10 13:48:09,,1,,3DO,5,{18},3DO,282,,87213d2d-1406-71e3-dc09-8f2352937191
137,New Nintendo 3DS,new-nintendo-3ds,https://www.igdb.com/platforms/new-nintendo-3ds,2017-09-05 11:25:34,2024-06-10 13:48:09,,5,5,n3DS,8,"{195,677}",,235,{17},10d2d57e-e40a-94d2-842a-c1de7ddd2f29
64,Sega Master System/Mark III,sms,https://www.igdb.com/platforms/sms,2013-06-29 10:03:37,2024-06-10 13:48:09,,1,3,"SMS, Mark III",3,"{63,629,630,631,632,633}",SMS,,,bdc235e9-0e6d-f73f-a420-cfa7935af434
274,PC-FX,pc-fx,https://www.igdb.com/platforms/pc-fx,2020-04-24 19:08:34,2024-06-10 13:48:09,,1,,,5,{392},,548,{139},a880243d-9f81-4fcf-fdf7-da0fe028be95
309,Evercade,evercade,https://www.igdb.com/platforms/evercade,2020-05-29 20:01:28,2024-06-10 13:48:09,,5,,,8,"{426,500,594}",,754,{207},72d87cd7-74b9-751a-b6ad-dfc2e552064b
381,Playdate,playdate,https://www.igdb.com/platforms/playdate,2021-06-08 16:21:15,2024-06-10 13:48:09,,5,,,9,{501},,609,{278},45e16d52-5a6f-04ec-0394-46855ef4025b
95,PDP-1,pdp1,https://www.igdb.com/platforms/pdp1,2014-12-14 14:07:51,2024-06-10 13:48:09,,6,,Programmed Data Processor-1,,{115},pdp1,,{212},f5fdcfb5-aaaa-1af3-98d1-ffb5cb063a18
110,PLATO,plato--1,https://www.igdb.com/platforms/plato--1,2015-08-02 12:33:23,2024-06-10 13:48:09,,6,,Programmed Logic for Automatic Teaching Operations,,{136},plato,375,,46476609-7e40-6759-25f6-daecc85fb708
372,OOParts,ooparts,https://www.igdb.com/platforms/ooparts,2020-11-28 08:15:04,2024-06-10 13:49:14,,3,,,,{490},,594,{271},3af6eea3-3715-3a44-7bd3-be2823e1f6eb
378,Gamate,gamate,https://www.igdb.com/platforms/gamate,2021-05-12 04:40:04,2024-06-10 13:48:09,,5,,Super Boy,4,{497},,627,"{290,305}",dbcba469-1770-894a-1212-28cd373558be
